published_at,size
2024,30970
2023,37591
2022,36781
2021,34660
2020,24129
2019,24163
2018,22986
2017,17373
2016,12939
2015,10431
2014,12854
2013,12192
2012,10016
2011,8002
2010,5745
2009,3413
2008,5991
2007,4254
2006,2183
2005,817
2004,378
2003,86
