published_at,average
2024,109819
2023,98648
2022,91208
2021,82386
2020,72339
2019,68905
2018,62486
2017,60158
2016,54524
2015,50252
2014,47803
2013,45946
2012,46299
2011,45422
2010,43829
2009,44404
2008,46471
2007,42781
2006,40588
2005,44813
2004,42717
2003,41305
